TIP_ECOV,TIP_VEG,OTROS,DESCRIPCIO,HEMEROBIA
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,PALMAR NATURAL,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,PASTIZAL CULTIVADO,10
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,PASTIZAL GIPSÓFILO,4
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,PASTIZAL HALÓFILO,4
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,PASTIZAL INDUCIDO,10
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,PASTIZAL NATURAL,4
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,POPAL,4
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,PRADERA DE ALTA MONTAÑA,4
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SABANA,4
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SABANOIDE,8
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA ALTA PERENNIFOLIA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA ALTA SUBPERENNIFOLIA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA BAJA CADUCIFOLIA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA BAJA ESPINOSA CADUCIFOLIA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA BAJA ESPINOSA SUBPERENNIFOLIA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA BAJA PERENNIFOLIA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA BAJA SUBCADUCIFOLIA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA BAJA SUBPERENNIFOLIA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA DE GALERÍA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA MEDIANA CADUCIFOLIA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA MEDIANA SUBCADUCIFOLIA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SELVA MEDIANA SUBPERENNIFOLIA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,SIN VEGETACIÓN APARENTE,4
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,TULAR,4
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACION SECUNDARIA ARBUSTIVA DE BOSQUE DE OYAMEL,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN DE DESIERTOS ARENOSOS,1
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN DE DUNAS COSTERAS,3
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN DE GALERÍA,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN DE PETÉN,2
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN GIPSÓFILA,1
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN HALÓFILA HIDRÓFILA,3
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN HALÓFILA XERÓFILA,1
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE AYARÍN,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE CEDRO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO-PINO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE GALERÍA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE MEZQUITE,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO-ENCINO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE TÁSCATE,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE MESÓFILO DE MONTAÑA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE CHAPARRAL,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MANGLAR,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL CRASICAULE,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL DESÉRTICO MICRÓFILO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL DESÉRTICO ROSETÓFILO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL ESPINOSO TAMAULIPECO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL ROSETÓFILO COSTERO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL SARCO-CRASICAULE,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL SARCO-CRASICAULE DE NEBLI,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL SARCOCAULE,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL SUBMONTANO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL SUBTROPICAL,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MEZQUITAL TROPICAL,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MEZQUITAL XERÓFILO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE PALMAR NATURAL,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE PASTIZAL GIPSÓFILO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE PASTIZAL HALÓFILO,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE PASTIZAL NATURAL,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA ALTA PERENNIFOLIA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA ALTA SUBPERENNIFOLIA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA CADUCIFOLIA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA ESPINOSA CADUCIFOLIA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA ESPINOSA SUBPERENNIFOLI,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA PERENNIFOLIA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA SUBCADUCIFOLIA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA SUBPERENNIFOLIA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA DE GALERÍA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA MEDIANA CADUCIFOLIA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA MEDIANA PERENNIFOLIA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA MEDIANA SUBCADUCIFOLIA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA MEDIANA SUBPERENNIFOLIA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE VEGETACIÓN DE DESIERTOS ARENOSOS,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE VEGETACIÓN DE DUNAS COSTERAS,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE VEGETACIÓN DE GALERÍA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE VEGETACIÓN HALÓFILA HIDRÓFILA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE VEGETACIÓN HALÓFILA XERÓFILA,7
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE AYARÍN,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE CEDRO,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE ENCINO,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE ENCINO-PINO,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE GALERÍA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE MEZQUITE,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE OYAMEL,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO-ENCINO,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE TÁSCATE,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE MESÓFILO DE MONTAÑA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE MANGLAR,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE MEZQUITAL TROPICAL,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE PALMAR NATURAL,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA ALTA PERENNIFOLIA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA ALTA SUBPERENNIFOLIA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA CADUCIFOLIA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA ESPINOSA CADUCIFOLIA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA ESPINOSA SUBPERENNIFOLIA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA PERENNIFOLIA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA SUBCADUCIFOLIA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA SUBPERENNIFOLIA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA DE GALERÍA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA MEDIANA CADUCIFOLIA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA MEDIANA SUBCADUCIFOLIA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA MEDIANA SUBPERENNIFOLIA,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE VEGETACIÓN DE PETÉN,5
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE ENCINO,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE ENCINO-PINO,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE OYAMEL,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE PINO,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE PINO-ENCINO,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE TÁSCATE,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE MESÓFILO DE MONTAÑA,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MANGLAR,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL CRASICAULE,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL DE CONIFERAS,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL DESÉRTICO MICRÓFILO,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL DESÉRTICO ROSETÓFILO,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL ESPINOSO TAMAULIPECO,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL ROSETÓFILO COSTERO,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL SARCO-CRASICAULE,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL SARCO-CRASICAULE DE NEBLI,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE PALMAR NATURAL,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE PASTIZAL NATURAL,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA ALTA PERENNIFOLIA,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA ALTA SUBPERENNIFOLIA,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA BAJA CADUCIFOLIA,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA BAJA ESPINOSA CADUCIFOLIA,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA BAJA ESPINOSA SUBPERENNIFOLI,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA MEDIANA CADUCIFOLIA,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA MEDIANA SUBCADUCIFOLIA,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA MEDIANA SUBPERENNIFOLIA,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE VEGETACIÓN DE DUNAS COSTERAS,9
MATORRAL XEROFILO,Matorral Desertico Microfilo,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE VEGETACIÓN HALÓFILA XERÓFILA,9
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,ACUÍCOLA,NA
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE HUMEDAD ANUAL,13
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE HUMEDAD ANUAL Y PERMANENTE,13
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE HUMEDAD ANUAL Y SEMIPERMANENTE,13
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE HUMEDAD PERMANENTE,13
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE HUMEDAD SEMIPERMANENTE,13
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE HUMEDAD SEMIPERMANENTE Y PERMANENTE,13
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE RIEGO ANUAL,12
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE RIEGO ANUAL Y PERMANENTE,12
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE,12
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE RIEGO PERMANENTE,12
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE RIEGO SEMIPERMANENTE,12
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE RIEGO SEMIPERMANENTE Y PERMANENTE,12
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE TEMPORAL ANUAL,11
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,11
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE TEMPORAL ANUAL Y SEMIPERMANENTE,11
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE TEMPORAL PERMANENTE,11
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE TEMPORAL SEMIPERMANENTE,11
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,AGRICULTURA DE TEMPORAL SEMIPERMANENTE Y PERMANENTE,11
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,ASENTAMIENTOS HUMANOS,15
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE CULTIVADO,6
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE DE AYARÍN,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE DE CEDRO,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE DE ENCINO,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE DE ENCINO-PINO,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE DE GALERÍA,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE DE MEZQUITE,3
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE DE OYAMEL,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE DE PINO,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE DE PINO-ENCINO,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE DE TÁSCATE,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE INDUCIDO,6
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,BOSQUE MESÓFILO DE MONTAÑA,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,CHAPARRAL,1
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,CUERPO DE AGUA,NA
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,DESPROVISTO DE VEGETACIÓN,14
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MANGLAR,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MATORRAL CRASICAULE,1
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MATORRAL DESÉRTICO MICRÓFILO,1
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MATORRAL DESÉRTICO ROSETÓFILO,1
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MATORRAL ESPINOSO TAMAULIPECO,1
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MATORRAL ROSETÓFILO COSTERO,1
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MATORRAL SARCO-CRASICAULE,1
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MATORRAL SARCO-CRASICAULE DE NEBLINA,1
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MATORRAL SARCOCAULE,1
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MATORRAL SUBMONTANO,1
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MATORRAL SUBTROPICAL,3
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MEZQUITAL TROPICAL,3
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,MEZQUITAL XERÓFILO,1
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,PALMAR INDUCIDO,10
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,PALMAR NATURAL,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,PASTIZAL CULTIVADO,10
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,PASTIZAL GIPSÓFILO,4
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,PASTIZAL HALÓFILO,4
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,PASTIZAL INDUCIDO,10
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,PASTIZAL NATURAL,4
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,POPAL,4
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,PRADERA DE ALTA MONTAÑA,4
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,SABANA,4
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,SABANOIDE,8
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,SELVA ALTA PERENNIFOLIA,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,SELVA ALTA SUBPERENNIFOLIA,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,SELVA BAJA CADUCIFOLIA,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,SELVA BAJA ESPINOSA CADUCIFOLIA,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,SELVA BAJA ESPINOSA SUBPERENNIFOLIA,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,SELVA BAJA PERENNIFOLIA,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,SELVA BAJA SUBCADUCIFOLIA,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,SELVA BAJA SUBPERENNIFOLIA,2
MATORRAL XEROFILO,Vegetacion de Desiertos Arenosos,No aplicable,SELVA DE GALERÍA,2
